,empty_slots,free_bikes,latitude,longitude,name,timestamp
0,7,4,52.668746,-8.627809,Clancy's Strand,2023-06-03T14:35:36.031000Z
1,13,8,52.667706,-8.624409,Saint Mary's Cathedral,2023-06-03T14:35:36.034000Z
2,13,7,52.668627,-8.620756,Island Road Junction,2023-06-03T14:35:36.035000Z
3,11,9,52.66642,-8.618478,Abbey Bridge,2023-06-03T14:35:36.036000Z
4,6,10,52.665794,-8.631321,O'Callaghan Strand,2023-06-03T14:35:36.037000Z
5,12,7,52.663725,-8.628751,Bedford Row,2023-06-03T14:35:36.037000Z
6,19,6,52.664822,-8.626348,Arthur's Quay,2023-06-03T14:35:36.038000Z
7,12,8,52.663496,-8.62168,The Milk Market,2023-06-03T14:35:36.039000Z
8,6,4,52.662964,-8.61797,Saint John's Cathedral,2023-06-03T14:35:36.040000Z
9,14,6,52.660023,-8.62021,Newtown Mahon,2023-06-03T14:35:36.041000Z
10,7,5,52.662172,-8.631993,Bishop's Quay,2023-06-03T14:35:36.042000Z
11,6,9,52.661273,-8.629543,O'Connell Street,2023-06-03T14:35:36.043000Z
12,12,8,52.661081,-8.625007,Roches Street,2023-06-03T14:35:36.043000Z
13,11,7,52.660052,-8.627593,Baker Place,2023-06-03T14:35:36.044000Z
14,21,5,52.658635,-8.632447,Newenham St.,2023-06-03T14:35:36.045000Z
15,10,9,52.658147,-8.629443,Pery Square,2023-06-03T14:35:36.046000Z
16,15,7,52.659188,-8.62527,Colbert Station,2023-06-03T14:35:36.047000Z
17,10,7,52.655574,-8.635766,Mount Saint Alphonsus,2023-06-03T14:35:36.048000Z
18,14,6,52.65511,-8.634783,O'Connell Avenue,2023-06-03T14:35:36.057000Z
19,9,11,52.65317,-8.638653,Mary Immaculate College,2023-06-03T14:35:36.059000Z
20,11,9,52.652563,-8.635751,Mount Saint Vincent,2023-06-03T14:35:36.060000Z
21,22,8,52.669927,-8.624656,King John's Castle,2023-06-03T14:35:36.033000Z
22,47,13,52.67398597,-8.648047135,TUS Campus,2023-06-03T14:35:36.060000Z
