name,address,title,rating,review_count,distance
The Locke Bar,3 George's Quay,Bars,4.5,158,185.52950293050455
The Curragower,Clancy Strand,Seafood,4.5,112,241.8692857859076
Katie Daly's Heritage Pub & Kitchen,The Parade,Irish Pub,5.0,16,248.6313506089106
Aroi,1 O'Connell Street,Asian Fusion,4.5,24,373.673604252383
Cornstore,19 Thomas St,Seafood,4.5,41,576.0302005773087
Coqbull,49-50 Thomas Street,Burgers,4.5,19,573.0220197955994
King John's Castle,Nicholas Street,Landmarks & Historical Buildings,4.0,44,229.93224879639243
Hamptons,The Savoy Hotel,Irish,4.0,26,595.5444533277878
"Nelly's Corner Cafe, Restaurant and Bar",46 Nicholas Street,Cafes,5.0,10,133.2216852658861
Da Vincenzo Food and Wine Hall,1st Floor,Pizza,4.5,16,666.7392362092
Dolans Pub & Restaurant,3-4 Dock Road,Pubs,4.5,50,1341.9737497587905
Hook & Ladder,7 Sarsfield Street,Cooking Schools,4.5,24,463.5518239098059
House Limerick,Howley's Quay,Cocktail Bars,4.5,12,676.0504575091247
Freddy's Bistro,Theatre Lane,Irish,4.5,23,832.3695810493232
Azur Restaurant,8 Georges Quay,Irish,4.5,7,130.63739191230084
Jasmine Palace,O'Connell Street,Chinese,4.5,17,722.0625205074016
The Copper Room,100 O'Connell Street,Wine Bars,5.0,10,770.3748881476486
Flannerys Bar,17 Upper Denmark Street,Pubs,4.5,8,516.1851608324695
Poppodom,Robert Street,Vegetarian,4.5,10,448.22539474503344
Glen Tavern,1-2 Lower Glentworth St,Pubs,4.5,16,831.6342031654885
